school_name,year,StudentID,First Name,Last Name,Year Level,Class,Subject,Answers,Correct Answers,Question Number,Subject Contents,Assessment Areas,sydney_correct_count_percentage,sydney_average_score,sydney_participants,student_score,student_total_assessed,student_area_assessed_score,total_area_assessed_score,participant,correct_answer_percentage_per_class,average_score,school_percentile,sydney_percentile,strength_status,high_distinct_count,distinct_count,credit_count,participant_count,award
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,C,D,4,Subject Content 5 for Science,Assessment Area 5 for Science,51.37,25.36,47,58.24,69,47.11,7.18,86,43.69,56.29,43,16,E,75,22,58,80,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,D,Z,20,Subject Content 6 for Science,Assessment Area 6 for Science,34.35,3.81,87,28.59,71,4.85,2.63,87,83.34,26.44,24,44,E,21,81,97,95,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,A,Z,25,Subject Content 7 for Science,Assessment Area 7 for Science,60.87,22.2,24,59.08,95,80.17,54.67,52,97.07,27.23,42,67,E,9,72,34,53,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,B,Z,3,Subject Content 8 for Science,Assessment Area 8 for Science,58.62,3.45,55,28.21,92,38.59,86.34,21,54.44,28.61,34,53,E,98,13,47,84,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,B,A,16,Subject Content 9 for Science,Assessment Area 9 for Science,41.14,82.18,11,97.18,51,76.98,79.12,39,75.7,53.79,22,6,E,81,17,35,86,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,B,D,24,Subject Content 10 for Science,Assessment Area 10 for Science,79.87,95.13,61,50.32,74,3.57,68.63,90,84.37,85.21,77,21,E,90,46,25,49,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,B,D,23,Subject Content 1 for Science,Assessment Area 1 for Science,90.85,27.6,63,74.55,82,95.22,25.27,45,78.35,37.51,88,9,E,74,10,29,83,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,D,Z,9,Subject Content 2 for Science,Assessment Area 2 for Science,43.27,65.48,63,76.73,25,93.71,95.1,86,55.91,17.5,93,78,E,56,51,98,22,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,D,Z,1,Subject Content 3 for Science,Assessment Area 3 for Science,19.43,81.88,17,50.59,20,85.13,87.68,93,83.34,56.41,14,8,E,68,59,93,49,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,A,B,2,Subject Content 4 for Science,Assessment Area 4 for Science,26.52,75,33,0.85,86,6.2,87.69,84,46.61,25.27,75,84,E,97,56,82,12,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,A,D,22,Subject Content 5 for Science,Assessment Area 5 for Science,77.11,25.59,93,0.54,86,94.43,11.77,30,8.15,53.71,11,46,E,76,66,75,62,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,B,C,19,Subject Content 6 for Science,Assessment Area 6 for Science,65.34,99.65,47,15.89,69,5.86,39.78,73,7.4,84.01,33,21,E,5,25,55,53,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,B,D,18,Subject Content 7 for Science,Assessment Area 7 for Science,37.51,97.15,27,7.17,24,80.84,17.95,48,22.84,39.51,99,66,E,50,79,60,56,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,D,B,6,Subject Content 8 for Science,Assessment Area 8 for Science,35.2,1.18,73,23.6,87,60.49,12.3,17,28.31,1.08,20,68,E,34,59,7,23,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,A,A,10,Subject Content 9 for Science,Assessment Area 9 for Science,7.54,89.33,32,73.42,29,46.49,16.63,47,88.14,31.27,11,81,E,49,45,74,81,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,D,Z,11,Subject Content 10 for Science,Assessment Area 10 for Science,28.2,39.28,54,3.14,27,85.5,77.3,46,4.44,28.93,59,5,E,51,5,66,74,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,D,B,13,Subject Content 1 for Science,Assessment Area 1 for Science,82.33,96.14,87,62.93,97,62.97,34.71,49,88.9,68.92,35,19,E,4,3,72,65,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,B,D,8,Subject Content 2 for Science,Assessment Area 2 for Science,29.89,40.94,23,65.32,40,75.69,20.23,39,25.76,9.83,15,40,E,95,50,75,68,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,B,Z,17,Subject Content 3 for Science,Assessment Area 3 for Science,18.57,92.18,57,91.54,97,10.52,66.37,18,57.4,28.15,63,33,E,92,56,44,58,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,A,A,12,Subject Content 4 for Science,Assessment Area 4 for Science,92.22,18.96,90,58.2,99,79.66,37.48,70,30.95,58.39,68,6,E,93,7,64,17,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Science,A,A,14,Subject Content 5 for Science,Assessment Area 5 for Science,2.96,2.65,42,29.75,80,69.68,73.81,22,35.15,90.78,60,10,E,76,45,5,20,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,Z,9,Subject Content 1 for Math,Assessment Area 1 for Math,47.27,63.02,61,94.42,66,46.76,57.67,24,80.8,27.74,22,92,E,3,47,44,50,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,C,18,Subject Content 2 for Math,Assessment Area 2 for Math,41.62,78.86,88,5.1,25,42.33,63.75,29,8.98,97.34,20,35,E,81,92,74,39,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,D,D,15,Subject Content 3 for Math,Assessment Area 3 for Math,27.38,53.86,55,79.65,49,85.51,29.21,86,4.54,13.03,3,30,E,29,98,96,36,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,C,6,Subject Content 4 for Math,Assessment Area 4 for Math,83.63,46.7,98,99.8,21,65.43,58.75,93,99.23,41.59,27,44,E,31,41,46,71,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,D,Z,22,Subject Content 5 for Math,Assessment Area 5 for Math,23.72,31.69,93,90.04,14,61.22,18.41,15,87.88,28.12,52,33,E,32,76,94,85,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,A,2,Subject Content 6 for Math,Assessment Area 6 for Math,41.13,9.94,42,3.14,57,57.65,20.65,93,3.81,34.32,61,7,E,21,2,54,27,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,D,D,21,Subject Content 7 for Math,Assessment Area 7 for Math,36.4,88,48,83.18,30,63.33,52.03,91,47.74,77.87,23,5,E,34,71,35,51,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,A,C,13,Subject Content 8 for Math,Assessment Area 8 for Math,30.81,15.67,93,28.83,37,22.94,64.45,98,74.37,10.83,100,82,E,92,49,42,56,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,B,3,Subject Content 9 for Math,Assessment Area 9 for Math,3.81,88.11,59,9.26,56,91.15,56.57,68,48.85,91.03,62,98,E,18,94,57,13,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,B,8,Subject Content 10 for Math,Assessment Area 10 for Math,8.51,43.8,40,31.43,58,84.15,23.7,77,49.2,14.81,13,45,E,21,91,81,3,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,D,C,12,Subject Content 1 for Math,Assessment Area 1 for Math,2.96,21.57,76,65.52,66,52.45,73.33,78,27.64,18.49,54,99,E,44,14,79,11,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,A,D,5,Subject Content 2 for Math,Assessment Area 2 for Math,37.07,60.69,32,37.77,17,30.27,93.45,97,2.3,69.78,64,16,E,32,47,48,54,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,B,1,Subject Content 3 for Math,Assessment Area 3 for Math,30.68,59.33,58,96.42,17,93.72,31.4,86,76.98,85.12,69,87,E,27,88,76,50,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,D,23,Subject Content 4 for Math,Assessment Area 4 for Math,15.29,18.32,45,83.79,94,48.15,91.17,32,99.72,25.1,87,11,E,18,23,38,31,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,C,Z,24,Subject Content 5 for Math,Assessment Area 5 for Math,14.17,92.82,82,0.96,15,88.95,22.91,35,74.47,46.97,81,80,E,60,52,9,45,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,C,20,Subject Content 6 for Math,Assessment Area 6 for Math,96.54,51.02,77,54.61,18,11.11,98.88,89,36.95,22.23,93,24,E,16,22,78,74,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,C,C,7,Subject Content 7 for Math,Assessment Area 7 for Math,65.64,80.42,32,18.58,62,83,97.7,15,88.94,65.57,65,7,E,30,72,45,47,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,C,Z,10,Subject Content 8 for Math,Assessment Area 8 for Math,98.06,19.23,78,40.1,30,90.42,31.72,30,36.37,72.13,18,88,E,9,68,27,84,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,C,D,16,Subject Content 9 for Math,Assessment Area 9 for Math,13.94,7.13,95,77.69,73,98.45,77.69,79,1.39,1.62,48,11,E,67,59,56,20,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,B,D,17,Subject Content 10 for Math,Assessment Area 10 for Math,99.25,45.68,40,40.87,78,79.66,51.89,24,86.68,33.24,29,9,E,40,19,51,69,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,D,A,14,Subject Content 1 for Math,Assessment Area 1 for Math,46.05,29.07,63,98.77,85,38.42,36.48,58,17.22,97.43,38,79,E,28,37,22,53,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,D,D,11,Subject Content 2 for Math,Assessment Area 2 for Math,31.13,90.27,92,27.01,81,66.28,89.96,98,60.85,22.72,20,91,E,48,38,92,34,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,C,Z,4,Subject Content 3 for Math,Assessment Area 3 for Math,82.74,67.9,21,41.29,61,10.45,3.24,49,85.78,63.31,51,62,E,13,13,85,86,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,C,D,25,Subject Content 4 for Math,Assessment Area 4 for Math,82.53,58.25,64,81.71,83,72.99,4.67,58,5.47,79.44,53,86,E,50,34,11,89,Participation
"Christ King Catholic School, Bass Hill",2022,5,First Name 5,Last Name 5,10,Class 10,Math,C,B,19,Subject Content 5 for Math,Assessment Area 5 for Math,46.7,19.05,62,63.92,83,40.21,18.36,46,3.79,73.29,33,41,E,51,72,72,62,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,A,11,Subject Content 1 for Science,Assessment Area 1 for Science,72.9,94.13,13,55.96,26,74.56,50.07,94,94.14,10.18,100,64,E,74,79,3,53,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,B,Z,18,Subject Content 2 for Science,Assessment Area 2 for Science,23.92,56.1,96,52.67,60,15.37,30.41,87,23.67,9,91,29,E,92,24,7,85,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,A,B,15,Subject Content 3 for Science,Assessment Area 3 for Science,23.28,43.32,86,2.07,42,7.67,70.49,29,1.09,1.21,13,72,E,61,69,16,70,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,A,Z,17,Subject Content 4 for Science,Assessment Area 4 for Science,83.79,0.25,12,98.03,88,47.58,13.81,41,52.7,53.54,29,100,E,82,69,90,98,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,D,B,22,Subject Content 5 for Science,Assessment Area 5 for Science,39.03,58.32,69,65.32,74,49.8,8.44,43,45.44,42.38,53,73,E,80,64,17,47,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,D,D,6,Subject Content 6 for Science,Assessment Area 6 for Science,7.51,40.87,89,52.52,24,81.2,42.15,96,56.83,11.7,68,57,E,44,17,6,67,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,A,7,Subject Content 7 for Science,Assessment Area 7 for Science,71.4,93.64,87,44.99,39,36.46,53.76,34,50.73,48.35,25,80,E,16,64,18,44,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,C,3,Subject Content 8 for Science,Assessment Area 8 for Science,69.07,15.17,95,8.97,31,65.76,66.55,34,26.19,97.91,31,21,E,12,38,4,41,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,D,C,25,Subject Content 9 for Science,Assessment Area 9 for Science,76.87,49.07,74,15.41,100,58.33,16.98,52,8.74,90.4,60,8,E,69,98,33,44,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,A,A,2,Subject Content 10 for Science,Assessment Area 10 for Science,80.73,77.89,51,59.15,32,74.48,95.22,42,79.73,57.72,42,28,E,62,73,67,61,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,A,10,Subject Content 1 for Science,Assessment Area 1 for Science,5.6,16.31,50,12.04,35,9.98,9.37,75,71.83,7.62,64,11,E,70,93,71,98,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,D,A,8,Subject Content 2 for Science,Assessment Area 2 for Science,17.3,1.81,45,6.62,39,15.23,58.46,54,38.81,84.56,27,88,E,82,93,4,43,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,B,B,1,Subject Content 3 for Science,Assessment Area 3 for Science,5.38,30.57,44,9.26,17,87.1,31.57,47,41.91,69.41,6,94,E,86,9,26,49,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,A,16,Subject Content 4 for Science,Assessment Area 4 for Science,85.18,14.82,35,91.38,65,53.71,1.8,33,65.11,99.47,15,53,E,42,17,4,33,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,A,A,23,Subject Content 5 for Science,Assessment Area 5 for Science,52.64,69.85,21,11.13,50,73.04,78.46,66,76.51,21.91,1,70,E,71,83,54,95,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,D,4,Subject Content 6 for Science,Assessment Area 6 for Science,56.4,72.79,88,92.85,82,80.93,52.67,17,84.47,24.1,55,68,E,3,50,100,51,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,B,D,19,Subject Content 7 for Science,Assessment Area 7 for Science,31.32,21.12,71,59.24,78,10.46,44.11,99,72.12,57.54,29,93,E,4,75,48,4,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,A,B,9,Subject Content 8 for Science,Assessment Area 8 for Science,2.59,90.27,19,62.71,87,25.37,84.55,48,10.48,85.25,49,90,E,98,90,35,34,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,D,13,Subject Content 9 for Science,Assessment Area 9 for Science,24.61,70.02,28,79.63,58,35.08,89.13,67,81.72,18.68,22,74,E,64,29,52,88,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,C,14,Subject Content 10 for Science,Assessment Area 10 for Science,91.92,89.89,76,33.9,75,80.89,40.52,72,98.08,90.56,36,1,E,82,45,95,22,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,B,5,Subject Content 1 for Science,Assessment Area 1 for Science,43.78,42.18,36,17.5,100,61.04,56.44,26,31.92,64.05,29,22,E,87,80,5,19,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,A,C,21,Subject Content 2 for Science,Assessment Area 2 for Science,46.72,46.89,42,37.45,68,96.66,15.86,19,59.66,13.39,93,95,E,93,60,82,54,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,D,B,12,Subject Content 3 for Science,Assessment Area 3 for Science,83.57,76.12,93,71.93,72,2.73,84.36,70,76.55,3.23,34,7,E,13,34,36,73,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,B,Z,24,Subject Content 4 for Science,Assessment Area 4 for Science,37.12,41.84,33,83.47,17,48.01,55.5,95,45.02,29.82,58,52,E,75,56,52,41,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Science,C,Z,20,Subject Content 5 for Science,Assessment Area 5 for Science,32.91,39.17,37,95.45,86,73.4,78.78,32,46.31,10.12,57,84,E,62,50,55,80,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,A,A,6,Subject Content 1 for Math,Assessment Area 1 for Math,6.86,9.52,17,17.06,96,85.58,83.94,67,83.22,14.86,16,30,E,13,21,66,14,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,B,B,11,Subject Content 2 for Math,Assessment Area 2 for Math,34.07,91.73,44,12.72,77,66.57,50.97,31,68.36,52.46,28,4,E,91,64,92,14,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,A,A,15,Subject Content 3 for Math,Assessment Area 3 for Math,13.07,57.71,40,58.32,53,63.75,72.85,26,22.81,3.89,9,6,E,100,70,42,98,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,A,B,1,Subject Content 4 for Math,Assessment Area 4 for Math,65.43,62.87,43,99.84,91,13.61,14.67,14,4.87,77.52,1,71,E,86,87,51,44,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,Z,4,Subject Content 5 for Math,Assessment Area 5 for Math,26.32,52.86,82,90.7,73,42.6,24.2,34,10.59,67.49,53,41,E,93,32,93,75,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,A,A,13,Subject Content 6 for Math,Assessment Area 6 for Math,63.4,44.5,75,6.29,11,47.21,22.68,60,32.44,72.99,68,54,E,48,51,57,34,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,B,A,7,Subject Content 7 for Math,Assessment Area 7 for Math,55.2,86.02,11,50.82,19,32.35,10.19,78,94.06,39.37,90,35,E,33,22,92,29,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,A,9,Subject Content 8 for Math,Assessment Area 8 for Math,14.18,20.64,53,15.6,66,11.22,53.29,21,33.24,63.95,56,99,E,23,13,97,91,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,C,10,Subject Content 9 for Math,Assessment Area 9 for Math,92.86,67.36,74,61.23,64,68.6,85.32,30,60.06,45.09,14,91,E,72,53,66,43,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,B,2,Subject Content 10 for Math,Assessment Area 10 for Math,24.37,92.77,93,43.02,53,41.77,1.64,20,25.19,28.28,73,17,E,55,73,35,52,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,B,24,Subject Content 1 for Math,Assessment Area 1 for Math,26.05,23.37,58,50.51,100,39.05,23.49,49,3.76,91.79,50,67,E,84,14,79,57,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,C,Z,19,Subject Content 2 for Math,Assessment Area 2 for Math,6.69,30.96,78,87.92,36,64.93,46.14,10,95.92,7.7,23,89,E,23,28,35,12,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,B,C,18,Subject Content 3 for Math,Assessment Area 3 for Math,48.32,87.7,15,92.66,39,2.58,64.83,70,7.09,71.83,70,78,E,32,63,41,68,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,B,B,17,Subject Content 4 for Math,Assessment Area 4 for Math,95.49,38.83,28,92.66,45,30.36,21.77,39,96.03,30.97,8,63,E,61,79,78,2,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,C,A,12,Subject Content 5 for Math,Assessment Area 5 for Math,27.05,36.74,26,44.14,83,57.3,31.16,57,32.02,54.69,4,89,E,35,63,23,36,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,B,23,Subject Content 6 for Math,Assessment Area 6 for Math,94.62,31.25,54,93.62,89,88.77,30.14,35,29.33,71.18,91,65,E,87,79,88,95,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,A,C,22,Subject Content 7 for Math,Assessment Area 7 for Math,70.57,91.32,97,32.61,86,7.01,17.05,69,91.52,58.08,98,33,E,67,2,61,65,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,A,D,21,Subject Content 8 for Math,Assessment Area 8 for Math,81.98,35.72,66,1.42,87,97.92,89.9,14,1.19,50.35,95,53,E,94,94,77,80,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,B,A,16,Subject Content 9 for Math,Assessment Area 9 for Math,21.51,59.47,99,72.41,20,81.98,89.48,94,13.18,38.76,85,23,E,41,46,82,7,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,A,8,Subject Content 10 for Math,Assessment Area 10 for Math,75.65,67.49,73,68.39,53,77.95,11.82,18,72.02,15.14,68,37,E,94,40,4,5,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,B,B,20,Subject Content 1 for Math,Assessment Area 1 for Math,57.1,50.53,32,60.57,60,43.89,13.71,25,72.37,24.72,35,91,E,35,6,46,92,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,B,14,Subject Content 2 for Math,Assessment Area 2 for Math,57.04,39.04,75,29.59,59,96.84,95.32,78,5.32,31.18,84,24,E,6,13,89,97,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,Z,5,Subject Content 3 for Math,Assessment Area 3 for Math,15.21,22.68,38,47.18,84,48.79,96.66,58,65.39,67.91,9,67,E,75,73,41,43,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,B,B,25,Subject Content 4 for Math,Assessment Area 4 for Math,9.85,7.97,59,44.57,86,13.76,92.91,39,49.62,72.25,51,7,E,79,35,50,43,Participation
"Christ King Catholic School, Bass Hill",2022,6,First Name 6,Last Name 6,4,Class 4,Math,D,D,3,Subject Content 5 for Math,Assessment Area 5 for Math,54.91,6.76,98,2.99,57,5.4,14.66,44,41.41,71.08,15,17,E,91,46,98,62,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,B,C,16,Subject Content 1 for Science,Assessment Area 1 for Science,89.12,38.61,30,47.43,40,29.86,25.26,14,78.35,86.96,16,1,E,83,76,16,15,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,D,A,13,Subject Content 2 for Science,Assessment Area 2 for Science,86.39,100,10,60.01,52,36.96,85.62,92,25.69,29.06,78,98,E,12,10,48,25,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,A,C,18,Subject Content 3 for Science,Assessment Area 3 for Science,77.71,44.26,49,57.59,51,87.97,76.81,99,90.26,95.12,22,39,E,29,60,52,48,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,B,Z,20,Subject Content 4 for Science,Assessment Area 4 for Science,9.99,26.63,79,86.41,65,21.62,20.37,86,55.56,54.15,62,19,E,40,64,84,53,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,A,D,1,Subject Content 5 for Science,Assessment Area 5 for Science,50.26,2.03,14,53.23,32,42.74,18.1,37,25.11,98.63,93,95,E,60,57,2,98,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,A,C,6,Subject Content 6 for Science,Assessment Area 6 for Science,3.31,76.46,87,61.14,82,27.2,65.56,15,50.55,22.69,37,19,E,49,68,49,20,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,A,C,23,Subject Content 7 for Science,Assessment Area 7 for Science,4.43,15.72,69,18.98,88,72.86,5.37,80,61.7,98.58,3,19,E,47,65,3,59,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,D,B,22,Subject Content 8 for Science,Assessment Area 8 for Science,37.59,9.04,28,73.6,53,96.61,29.23,22,99.13,85.73,60,10,E,33,91,44,99,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,B,D,9,Subject Content 9 for Science,Assessment Area 9 for Science,6.32,14.65,93,57.26,54,98.87,26.42,97,80.46,31.3,71,86,E,63,22,58,37,Participation
"Christ King Catholic School, Bass Hill",2022,7,First Name 7,Last Name 7,12,Class 12,Science,C,Z,5,Subject Content 10 for Science,Assessment Area 10 for Science,21.58,91.98,13,70.98,11,82.06,14.16,74,99.4,56.2,36,53,E,12,43,61,16,Participation
